Date,name,value,source
2010-12-31,France,0.017929999999999995,real_interest_rate
2011-12-31,France,0.008620000000000003,real_interest_rate
2012-12-31,France,0.01837,real_interest_rate
2013-12-31,France,0.012879999999999999,real_interest_rate
2014-12-31,France,0.02453,real_interest_rate
2015-12-31,France,0.00622,real_interest_rate
2016-12-31,France,0.0038600000000000006,real_interest_rate
2017-12-31,France,-0.00519,real_interest_rate
2018-12-31,France,-0.008199999999999999,real_interest_rate
2019-12-31,France,-0.007949999999999999,real_interest_rate
2020-12-31,France,0.00115,real_interest_rate
2021-12-31,France,-0.03143,real_interest_rate
2022-12-31,France,-0.057050000000000003,real_interest_rate
2023-12-31,France,-0.005940000000000008,real_interest_rate
1997-12-31,USA,0.04716,real_interest_rate
1998-12-31,USA,0.041299999999999996,real_interest_rate
1999-12-31,USA,0.019629999999999995,real_interest_rate
2000-12-31,USA,0.030550000000000008,real_interest_rate
2001-12-31,USA,0.0356,real_interest_rate
2002-12-31,USA,0.02674,real_interest_rate
2003-12-31,USA,0.019360000000000002,real_interest_rate
2004-12-31,USA,0.009895000000000001,real_interest_rate
2005-12-31,USA,0.008022000000000008,real_interest_rate
2006-12-31,USA,0.018501,real_interest_rate
2007-12-31,USA,0.006211999999999995,real_interest_rate
2008-12-31,USA,0.039322,real_interest_rate
2009-12-31,USA,-0.005087000000000001,real_interest_rate
2010-12-31,USA,0.023407999999999998,real_interest_rate
2011-12-31,USA,0.0033149999999999985,real_interest_rate
2012-12-31,USA,0.001351999999999999,real_interest_rate
2013-12-31,USA,0.002553999999999999,real_interest_rate
2014-12-31,USA,0.022722,real_interest_rate
2015-12-31,USA,0.014411999999999998,real_interest_rate
2016-12-31,USA,0.0019440000000000013,real_interest_rate
2017-12-31,USA,0.003353000000000002,real_interest_rate
2018-12-31,USA,0.0049540000000000035,real_interest_rate
2019-12-31,USA,0.003991999999999999,real_interest_rate
2020-12-31,USA,0.005555000000000001,real_interest_rate
2021-12-31,USA,-0.06122799999999999,real_interest_rate
2022-12-31,USA,-0.049439,real_interest_rate
2023-12-31,USA,0.0052279999999999965,real_interest_rate
1997-12-31,France,0.2950171220306339,stock_returns
1998-12-31,France,0.314697673488034,stock_returns
1999-12-31,France,0.5112436781259353,stock_returns
2000-12-31,France,-0.005353858134507616,stock_returns
2001-12-31,France,-0.21966718524842999,stock_returns
2002-12-31,France,-0.3374728083415143,stock_returns
2003-12-31,France,0.16122862616721778,stock_returns
2004-12-31,France,0.07399308580904451,stock_returns
2005-12-31,France,0.23397868710025227,stock_returns
2006-12-31,France,0.17528943444964518,stock_returns
2007-12-31,France,0.013050005774338791,stock_returns
2008-12-31,France,-0.4268036793205655,stock_returns
2009-12-31,France,0.22323390211841643,stock_returns
2010-12-31,France,-0.03341945416161751,stock_returns
2011-12-31,France,-0.16951571444341074,stock_returns
2012-12-31,France,0.15230662603131218,stock_returns
2013-12-31,France,0.17985921720812836,stock_returns
2014-12-31,France,-0.005400435293706818,stock_returns
2015-12-31,France,0.08526358902346276,stock_returns
2016-12-31,France,0.04857603740300975,stock_returns
2017-12-31,France,0.09260001933237483,stock_returns
2018-12-31,France,-0.1095272335747739,stock_returns
2019-12-31,France,0.2636761233562126,stock_returns
2020-12-31,France,-0.07136930709962774,stock_returns
2021-12-31,France,0.28850688383671885,stock_returns
2022-12-31,France,-0.09496255433012302,stock_returns
2023-12-31,France,0.16519302538246716,stock_returns
1997-12-31,Japan,-0.21189689768533693,stock_returns
1998-12-31,Japan,-0.09283663002318665,stock_returns
1999-12-31,Japan,0.3678736787656849,stock_returns
2000-12-31,Japan,-0.2719212816501657,stock_returns
2001-12-31,Japan,-0.23524901546458676,stock_returns
2002-12-31,Japan,-0.18626015165110754,stock_returns
2003-12-31,Japan,0.24451593726504983,stock_returns
2004-12-31,Japan,0.07606512910428753,stock_returns
2005-12-31,Japan,0.40236457198165865,stock_returns
2006-12-31,Japan,0.06916828611737147,stock_returns
2007-12-31,Japan,-0.11134731969373901,stock_returns
2008-12-31,Japan,-0.42123808938983975,stock_returns
2009-12-31,Japan,0.19040223216502872,stock_returns
2010-12-31,Japan,-0.030106841739961587,stock_returns
2011-12-31,Japan,-0.17338780633732587,stock_returns
2012-12-31,Japan,0.2294204261207402,stock_returns
2013-12-31,Japan,0.5671984515900637,stock_returns
2014-12-31,Japan,0.07117045836092983,stock_returns
2015-12-31,Japan,0.0907088913555103,stock_returns
2016-12-31,Japan,0.004237744506982555,stock_returns
2017-12-31,Japan,0.19098563018294623,stock_returns
2018-12-31,Japan,-0.12080725888142019,stock_returns
2019-12-31,Japan,0.18195812392548105,stock_returns
2020-12-31,Japan,0.16010528976666993,stock_returns
2021-12-31,Japan,0.04910113878466715,stock_returns
2022-12-31,Japan,-0.09368009055384341,stock_returns
2023-12-31,Japan,0.28242234953725864,stock_returns
1997-12-31,USA,0.3100818100818099,stock_returns
1998-12-31,USA,0.26668590212586185,stock_returns
1999-12-31,USA,0.19526044759727634,stock_returns
2000-12-31,USA,-0.10139186659860477,stock_returns
2001-12-31,USA,-0.1304268791468477,stock_returns
2002-12-31,USA,-0.23365967528395226,stock_returns
2003-12-31,USA,0.2638039599008888,stock_returns
2004-12-31,USA,0.08993452766386079,stock_returns
2005-12-31,USA,0.030010231698461842,stock_returns
2006-12-31,USA,0.13619431382130753,stock_returns
2007-12-31,USA,0.03529577663399852,stock_returns
2008-12-31,USA,-0.3848579367457571,stock_returns
2009-12-31,USA,0.23454193191253792,stock_returns
2010-12-31,USA,0.12782710070845682,stock_returns
2011-12-31,USA,-2.385420311079578e-05,stock_returns
2012-12-31,USA,0.13404791628565316,stock_returns
2013-12-31,USA,0.29601245275874866,stock_returns
2014-12-31,USA,0.11390638187366098,stock_returns
2015-12-31,USA,-0.00726601583369757,stock_returns
2016-12-31,USA,0.0953501570496198,stock_returns
2017-12-31,USA,0.1941996489237683,stock_returns
2018-12-31,USA,-0.06237259734965095,stock_returns
2019-12-31,USA,0.2887807407702896,stock_returns
2020-12-31,USA,0.1625892199406953,stock_returns
2021-12-31,USA,0.268927362908572,stock_returns
2022-12-31,USA,-0.19442824232404154,stock_returns
2023-12-31,USA,0.24230498762859742,stock_returns
1997-12-31,Japan,-0.22154689768533692,equity_premium
1998-12-31,Japan,-0.10623663002318665,equity_premium
1999-12-31,Japan,0.3346936787656849,equity_premium
2000-12-31,Japan,-0.2906712816501657,equity_premium
2001-12-31,Japan,-0.26370901546458675,equity_premium
2002-12-31,Japan,-0.20294015165110754,equity_premium
2003-12-31,Japan,0.23142593726504984,equity_premium
2004-12-31,Japan,0.06436512910428753,equity_premium
2005-12-31,Japan,0.38695457198165867,equity_premium
2006-12-31,Japan,0.057368286117371464,equity_premium
